player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Jamie Vardy,ENG,30,90.0,0,0,0,0,0,0,0,0,12.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0,44.4,0.0,5.0,1.0,3.0,2.0,95.0,15.0,1.0,3.0,33.3,1.0,3.0,33.3,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,7.0,1.0,12.0,66.7,1.0,33.3,57.0,11.0,0.0,0.0,0.0,0.0,7.0,4.0,0,0,1,2,0.0,0.0,0,2.0,1.0,0.0,100.0,True,Leicester City,Manchester City,12,2017-2018,FW,RW,None,None,2017,1.0,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2017,Leicester City,Manchester City,2017,12,Leicester City,0.2,1.9,Manchester City,0.0,2.0,2017-11-18,Graham Scott,King Power Stadium,Sat,15:00,"31,908",127,Manchester City,Leicester City,Leicester City,Manchester City,Leicester_City_Manchester_City,Leicester City_Manchester City_2017,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0,44.4,0.0,5.0,1.0,3.0,2.0,95.0,15.0,1.0,3.0,33.3,1.0,3.0,33.3,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,7.0,1.0,12.0,66.7,1.0,33.3,57.0,11.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0,1.0,0.2,1.9,0.0,2.0,127.0
Marc Albrighton,ENG,28,66.0,0,0,0,0,0,0,0,0,33.0,2.0,0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,25.0,60.0,3.0,17.0,0.0,1.0,0.0,290.0,101.0,6.0,10.0,60.0,7.0,10.0,70.0,2.0,3.0,66.7,0.1,0.0,1.0,1.0,1.0,20.0,4.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,9.0,18.0,7.0,0.0,33.0,0.0,1.0,100.0,92.0,29.0,0.0,0.0,0.0,2.0,21.0,1.0,0,1,1,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Leicester City,Manchester City,12,2017-2018,FW,RM,None,None,2017,0.7333333333333333,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2017,Leicester City,Manchester City,2017,12,Leicester City,0.2,1.9,Manchester City,0.0,2.0,2017-11-18,Graham Scott,King Power Stadium,Sat,15:00,"31,908",127,Manchester City,Leicester City,Leicester City,Manchester City,Leicester_City_Manchester_City,Leicester City_Manchester City_2017,38.18181818181819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.7272727272727275,0.0,1.3636363636363638,0.0,0.0,0.0,1.3636363636363638,0.0,20.454545454545457,34.09090909090909,81.81818181818183,4.090909090909091,23.181818181818183,0.0,1.3636363636363638,0.0,395.4545454545455,137.72727272727275,8.181818181818182,13.636363636363637,81.81818181818183,9.545454545454547,13.636363636363637,95.45454545454547,2.7272727272727275,4.090909090909091,90.95454545454547,0.13636363636363638,0.0,1.3636363636363638,1.3636363636363638,1.3636363636363638,27.272727272727273,5.454545454545455,0.0,0.0,0.0,2.7272727272727275,1.3636363636363638,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,2.7272727272727275,1.3636363636363638,0.0,1.3636363636363638,0.0,1.3636363636363638,0.0,1.3636363636363638,0.0,1.3636363636363638,2.7272727272727275,1.3636363636363638,0.0,4.090909090909091,12.272727272727273,24.545454545454547,9.545454545454547,0.0,45.0,0.0,1.3636363636363638,136.36363636363637,125.45454545454547,39.54545454545455,0.0,0.0,0.0,2.7272727272727275,28.636363636363637,1.3636363636363638,0.0,1.3636363636363638,1.3636363636363638,0.0,0.0,0.0,0.0,2.7272727272727275,0.0,0.0,0.0,1.0,0.27272727272727276,2.590909090909091,0.0,2.7272727272727275,173.1818181818182
Kelechi Iheanacho,NGA,21,24.0,0,0,0,0,0,0,0,0,7.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,5.0,0.0,0.0,0.0,60.0,31.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,35.0,4.0,0.0,0.0,1.0,1.0,4.0,2.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Leicester City,Manchester City,12,2017-2018,LM,LW,None,None,2017,0.26666666666666666,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2017,Leicester City,Manchester City,2017,12,Leicester City,0.2,1.9,Manchester City,0.0,2.0,2017-11-18,Graham Scott,King Power Stadium,Sat,15:00,"31,908",127,Manchester City,Leicester City,Leicester City,Manchester City,Leicester_City_Manchester_City,Leicester City_Manchester City_2017,78.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,15.0,22.5,250.125,0.0,18.75,0.0,0.0,0.0,225.0,116.25,7.5,7.5,375.0,7.5,7.5,375.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,7.5,18.75,0.0,0.0,26.25,0.0,0.0,0.0,131.25,15.0,0.0,0.0,3.75,3.75,15.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,1.0,0.75,7.125,0.0,7.5,476.25
Demarai Gray,JAM,21,90.0,0,0,0,0,0,0,0,0,27.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,75.0,1.0,14.0,2.0,1.0,1.0,255.0,69.0,4.0,6.0,66.7,6.0,6.0,100.0,1.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,17.0,3.0,2.0,0.0,1.0,2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,17.0,6.0,0.0,27.0,100.0,0.0,0.0,91.0,30.0,2.0,0.0,3.0,0.0,14.0,0.0,0,0,2,1,0.0,0.0,0,7.0,0.0,0.0,0.0,True,Leicester City,Manchester City,12,2017-2018,LM,RM,None,None,2017,1.0,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2017,Leicester City,Manchester City,2017,12,Leicester City,0.2,1.9,Manchester City,0.0,2.0,2017-11-18,Graham Scott,King Power Stadium,Sat,15:00,"31,908",127,Manchester City,Leicester City,Leicester City,Manchester City,Leicester_City_Manchester_City,Leicester City_Manchester City_2017,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,75.0,1.0,14.0,2.0,1.0,1.0,255.0,69.0,4.0,6.0,66.7,6.0,6.0,100.0,1.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,17.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,17.0,6.0,0.0,27.0,100.0,0.0,0.0,91.0,30.0,2.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.2,1.9,0.0,2.0,127.0
Vicente Iborra,ESP,29,82.0,0,0,0,0,0,0,0,0,38.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,17.0,29.0,58.6,2.0,16.0,1.0,2.0,2.0,298.0,68.0,9.0,13.0,69.2,1.0,6.0,16.7,5.0,6.0,83.3,0.0,0.0,1.0,0.0,0.0,28.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,10.0,24.0,4.0,1.0,38.0,100.0,0.0,0.0,91.0,39.0,0.0,0.0,2.0,2.0,24.0,0.0,0,1,2,0,0.0,0.0,0,7.0,2.0,6.0,25.0,True,Leicester City,Manchester City,12,2017-2018,CM,None,None,None,2017,0.9111111111111111,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2017,Leicester City,Manchester City,2017,12,Leicester City,0.2,1.9,Manchester City,0.0,2.0,2017-11-18,Graham Scott,King Power Stadium,Sat,15:00,"31,908",127,Manchester City,Leicester City,Leicester City,Manchester City,Leicester_City_Manchester_City,Leicester City_Manchester City_2017,31.829268292682926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.707317073170735,1.0975609756097562,2.1951219512195124,1.0975609756097562,0.0,0.0,0.0,0.0,0.0,18.658536585365855,31.829268292682926,64.3170731707317,2.1951219512195124,17.5609756097561,1.0975609756097562,2.1951219512195124,2.1951219512195124,327.0731707317073,74.63414634146342,9.878048780487806,14.26829268292683,75.95121951219512,1.0975609756097562,6.585365853658537,18.329268292682926,5.487804878048781,6.585365853658537,91.42682926829268,0.0,0.0,1.0975609756097562,0.0,0.0,30.73170731707317,1.0975609756097562,1.0975609756097562,1.0975609756097562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1951219512195124,1.0975609756097562,0.0,1.0975609756097562,0.0,1.0975609756097562,2.1951219512195124,54.87804878048781,1.0975609756097562,0.0,1.0975609756097562,3.2926829268292686,3.2926829268292686,0.0,3.2926829268292686,10.975609756097562,26.34146341463415,4.390243902439025,1.0975609756097562,41.707317073170735,109.75609756097562,0.0,0.0,99.8780487804878,42.80487804878049,0.0,0.0,2.1951219512195124,2.1951219512195124,26.34146341463415,0.0,0.0,1.0975609756097562,2.1951219512195124,0.0,0.0,0.0,0.0,7.682926829268292,2.1951219512195124,6.585365853658537,27.439024390243905,1.0,0.21951219512195125,2.0853658536585367,0.0,2.1951219512195124,139.39024390243904
Shinji Okazaki,JPN,31,8.0,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Leicester City,Manchester City,12,2017-2018,LM,None,None,None,2017,0.08888888888888889,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2017,Leicester City,Manchester City,2017,12,Leicester City,0.2,1.9,Manchester City,0.0,2.0,2017-11-18,Graham Scott,King Power Stadium,Sat,15:00,"31,908",127,Manchester City,Leicester City,Leicester City,Manchester City,Leicester_City_Manchester_City,Leicester City_Manchester City_2017,348.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,11.25,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,11.25,33.75,0.0,0.0,45.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,11.25,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,21.374999999999996,0.0,22.5,1428.75
Wilfred Ndidi,NGA,20,90.0,0,0,0,0,1,0,0,0,46.0,3.0,2,3.0,0.0,0.0,0.0,0.0,0.0,26.0,36.0,72.2,4.0,11.0,1.0,1.0,1.0,493.0,141.0,13.0,15.0,86.7,4.0,7.0,57.1,6.0,10.0,60.0,0.0,0.0,4.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,3.0,0.0,1.0,4.0,25.0,3.0,0.0,3.0,5.0,1.0,0.0,4.0,12.0,30.0,4.0,0.0,46.0,100.0,0.0,0.0,77.0,34.0,0.0,0.0,2.0,0.0,22.0,0.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,Leicester City,Manchester City,12,2017-2018,CM,None,None,None,2017,1.0,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2017,Leicester City,Manchester City,2017,12,Leicester City,0.2,1.9,Manchester City,0.0,2.0,2017-11-18,Graham Scott,King Power Stadium,Sat,15:00,"31,908",127,Manchester City,Leicester City,Leicester City,Manchester City,Leicester_City_Manchester_City,Leicester City_Manchester City_2017,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,36.0,72.2,4.0,11.0,1.0,1.0,1.0,493.0,141.0,13.0,15.0,86.7,4.0,7.0,57.1,6.0,10.0,60.0,0.0,0.0,4.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,4.0,25.0,3.0,0.0,3.0,5.0,1.0,0.0,4.0,12.0,30.0,4.0,0.0,46.0,100.0,0.0,0.0,77.0,34.0,0.0,0.0,2.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,0.2,1.9,0.0,2.0,127.0
Riyad Mahrez,ALG,26,82.0,0,0,0,0,0,0,0,0,37.0,1.0,2,1.0,0.0,0.0,0.0,1.0,0.0,20.0,27.0,74.1,2.0,22.0,3.0,6.0,3.0,306.0,116.0,10.0,12.0,83.3,6.0,9.0,66.7,2.0,2.0,100.0,0.1,0.0,2.0,1.0,0.0,22.0,4.0,2.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,20.0,15.0,2.0,37.0,50.0,3.0,50.0,196.0,80.0,3.0,2.0,2.0,2.0,28.0,7.0,0,1,2,0,0.0,0.0,0,2.0,1.0,1.0,50.0,True,Leicester City,Manchester City,12,2017-2018,RM,FW,None,None,2017,0.9111111111111111,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2017,Leicester City,Manchester City,2017,12,Leicester City,0.2,1.9,Manchester City,0.0,2.0,2017-11-18,Graham Scott,King Power Stadium,Sat,15:00,"31,908",127,Manchester City,Leicester City,Leicester City,Manchester City,Leicester_City_Manchester_City,Leicester City_Manchester City_2017,28.53658536585366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.609756097560975,1.0975609756097562,2.1951219512195124,1.0975609756097562,0.0,0.0,0.0,1.0975609756097562,0.0,21.951219512195124,29.634146341463413,81.32926829268293,2.1951219512195124,24.146341463414636,3.2926829268292686,6.585365853658537,3.2926829268292686,335.8536585365854,127.3170731707317,10.975609756097562,13.170731707317074,91.42682926829268,6.585365853658537,9.878048780487806,73.20731707317074,2.1951219512195124,2.1951219512195124,109.75609756097562,0.10975609756097562,0.0,2.1951219512195124,1.0975609756097562,0.0,24.146341463414636,4.390243902439025,2.1951219512195124,0.0,0.0,0.0,2.1951219512195124,0.0,0.0,0.0,0.0,1.0975609756097562,0.0,1.0975609756097562,1.0975609756097562,0.0,0.0,0.0,2.1951219512195124,0.0,2.1951219512195124,0.0,1.0975609756097562,3.2926829268292686,0.0,0.0,0.0,3.2926829268292686,21.951219512195124,16.463414634146343,2.1951219512195124,40.609756097560975,54.87804878048781,3.2926829268292686,54.87804878048781,215.1219512195122,87.8048780487805,3.2926829268292686,2.1951219512195124,2.1951219512195124,2.1951219512195124,30.73170731707317,7.682926829268292,0.0,1.0975609756097562,2.1951219512195124,0.0,0.0,0.0,0.0,2.1951219512195124,1.0975609756097562,1.0975609756097562,54.87804878048781,1.0,0.21951219512195125,2.0853658536585367,0.0,2.1951219512195124,139.39024390243904
Islam Slimani,ALG,29,8.0,0,0,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,15.0,6.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Leicester City,Manchester City,12,2017-2018,FW,None,None,None,2017,0.08888888888888889,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2017,Leicester City,Manchester City,2017,12,Leicester City,0.2,1.9,Manchester City,0.0,2.0,2017-11-18,Graham Scott,King Power Stadium,Sat,15:00,"31,908",127,Manchester City,Leicester City,Leicester City,Manchester City,Leicester_City_Manchester_City,Leicester City_Manchester City_2017,326.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,33.75,750.375,0.0,0.0,0.0,0.0,0.0,168.75,67.5,22.5,22.5,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,11.25,0.0,11.25,0.0,0.0,0.0,11.25,0.0,22.5,22.5,33.75,0.0,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,21.374999999999996,0.0,22.5,1428.75
Christian Fuchs,AUT,31,90.0,0,0,0,0,0,0,0,0,39.0,1.0,2,0.0,0.0,0.0,0.0,1.0,0.0,24.0,32.0,75.0,0.0,18.0,0.0,1.0,1.0,360.0,194.0,16.0,17.0,94.1,5.0,8.0,62.5,2.0,6.0,33.3,0.0,1.0,1.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,5.0,14.0,18.0,7.0,0.0,39.0,100.0,0.0,0.0,63.0,18.0,0.0,0.0,0.0,1.0,17.0,1.0,0,0,1,0,0.0,0.0,0,1.0,1.0,3.0,25.0,True,Leicester City,Manchester City,12,2017-2018,LB,None,None,None,2017,1.0,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2017,Leicester City,Manchester City,2017,12,Leicester City,0.2,1.9,Manchester City,0.0,2.0,2017-11-18,Graham Scott,King Power Stadium,Sat,15:00,"31,908",127,Manchester City,Leicester City,Leicester City,Manchester City,Leicester_City_Manchester_City,Leicester City_Manchester City_2017,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,32.0,75.0,0.0,18.0,0.0,1.0,1.0,360.0,194.0,16.0,17.0,94.1,5.0,8.0,62.5,2.0,6.0,33.3,0.0,1.0,1.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,5.0,14.0,18.0,7.0,0.0,39.0,100.0,0.0,0.0,63.0,18.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,25.0,1.0,0.2,1.9,0.0,2.0,127.0
