player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Roberto Firmino,BRA,27,71.0,0,0,0,0,0,0,0,0,20.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,17.0,76.5,2.0,8.0,0.0,0.0,0.0,153.0,27.0,7.0,9.0,77.8,3.0,4.0,75.0,0.0,1.0,0.0,0.1,0.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,12.0,6.0,2.0,20.0,0.0,0.0,0.0,25.0,8.0,0.0,0.0,0.0,1.0,17.0,4.0,0,2,1,0,0.0,0.0,0,2.0,0.0,2.0,0.0,True,Liverpool,Manchester City,8,2018-2019,FW,None,None,None,2018,0.7888888888888889,Liverpool_Manchester_City,Liverpool_Manchester_City_2018,Liverpool,Manchester City,2018,8,Liverpool,0.4,1.0,Manchester City,0.0,0.0,2018-10-07,Martin Atkinson,Anfield,Sun,16:30,"52,117",86,draw,draw,Liverpool,Manchester City,Liverpool_Manchester_City,Liverpool_Manchester City_2018,34.225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.35211267605634,0.0,0.0,1.267605633802817,0.0,0.0,0.0,1.267605633802817,0.0,16.47887323943662,21.549295774647888,96.9718309859155,2.535211267605634,10.140845070422536,0.0,0.0,0.0,193.943661971831,34.225352112676056,8.873239436619718,11.408450704225352,98.61971830985915,3.802816901408451,5.070422535211268,95.07042253521126,0.0,1.267605633802817,0.0,0.1267605633802817,0.0,2.535211267605634,0.0,0.0,21.549295774647888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.267605633802817,0.0,1.267605633802817,0.0,1.267605633802817,2.535211267605634,15.211267605633804,7.605633802816902,2.535211267605634,25.35211267605634,0.0,0.0,0.0,31.690140845070424,10.140845070422536,0.0,0.0,0.0,1.267605633802817,21.549295774647888,5.070422535211268,0.0,2.535211267605634,1.267605633802817,0.0,0.0,0.0,0.0,2.535211267605634,0.0,2.535211267605634,0.0,1.0,0.5070422535211268,1.267605633802817,0.0,0.0,109.01408450704226
Daniel Sturridge,ENG,29,19.0,0,0,0,0,1,1,0,0,11.0,1.0,0,1.0,0.1,0.1,0.0,0.0,0.0,6.0,7.0,85.7,1.0,9.0,0.0,1.0,0.0,77.0,19.0,4.0,5.0,80.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,11.0,0.0,1.0,100.0,39.0,6.0,1.0,0.0,0.0,1.0,10.0,2.0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,True,Liverpool,Manchester City,8,2018-2019,FW,None,None,None,2018,0.2111111111111111,Liverpool_Manchester_City,Liverpool_Manchester_City_2018,Liverpool,Manchester City,2018,8,Liverpool,0.4,1.0,Manchester City,0.0,0.0,2018-10-07,Martin Atkinson,Anfield,Sun,16:30,"52,117",86,draw,draw,Liverpool,Manchester City,Liverpool_Manchester_City,Liverpool_Manchester City_2018,137.3684210526316,0.0,0.0,0.0,0.0,4.7368421052631575,4.7368421052631575,0.0,0.0,52.10526315789474,4.7368421052631575,0.0,4.7368421052631575,0.4736842105263158,0.4736842105263158,0.0,0.0,0.0,28.42105263157895,33.1578947368421,405.94736842105266,4.7368421052631575,42.63157894736842,0.0,4.7368421052631575,0.0,364.7368421052632,90.0,18.94736842105263,23.68421052631579,378.94736842105266,9.473684210526315,9.473684210526315,473.6842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7368421052631575,4.7368421052631575,0.0,0.0,4.7368421052631575,4.7368421052631575,473.6842105263158,0.0,0.0,4.7368421052631575,4.7368421052631575,0.0,0.0,0.0,4.7368421052631575,28.42105263157895,18.94736842105263,4.7368421052631575,52.10526315789474,0.0,4.7368421052631575,473.6842105263158,184.73684210526315,28.42105263157895,4.7368421052631575,0.0,0.0,4.7368421052631575,47.36842105263158,9.473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.473684210526315,0.0,1.0,1.8947368421052633,4.7368421052631575,0.0,0.0,407.36842105263156
Sadio Mane,SEN,26,90.0,0,0,0,0,0,0,0,0,40.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.0,78.1,2.0,26.0,2.0,2.0,1.0,328.0,51.0,15.0,16.0,93.8,7.0,9.0,77.8,1.0,3.0,33.3,0.0,0.0,0.0,1.0,0.0,30.0,2.0,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,22.0,15.0,3.0,40.0,50.0,1.0,50.0,114.0,36.0,1.0,1.0,4.0,2.0,30.0,4.0,0,1,2,1,0.0,0.0,0,5.0,0.0,3.0,0.0,True,Liverpool,Manchester City,8,2018-2019,LW,None,None,None,2018,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2018,Liverpool,Manchester City,2018,8,Liverpool,0.4,1.0,Manchester City,0.0,0.0,2018-10-07,Martin Atkinson,Anfield,Sun,16:30,"52,117",86,draw,draw,Liverpool,Manchester City,Liverpool_Manchester_City,Liverpool_Manchester City_2018,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.0,78.1,2.0,26.0,2.0,2.0,1.0,328.0,51.0,15.0,16.0,93.8,7.0,9.0,77.8,1.0,3.0,33.3,0.0,0.0,0.0,1.0,0.0,30.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,22.0,15.0,3.0,40.0,50.0,1.0,50.0,114.0,36.0,1.0,1.0,4.0,2.0,30.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,0.4,1.0,0.0,0.0,86.0
Mohamed Salah,EGY,26,90.0,0,0,0,0,3,1,0,0,26.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,11.0,17.0,64.7,3.0,21.0,2.0,1.0,0.0,195.0,42.0,6.0,8.0,75.0,2.0,4.0,50.0,2.0,3.0,66.7,0.0,0.0,2.0,0.0,0.0,16.0,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,15.0,6.0,26.0,0.0,1.0,100.0,103.0,48.0,2.0,2.0,1.0,1.0,21.0,8.0,0,1,3,1,0.0,0.0,0,4.0,0.0,3.0,0.0,True,Liverpool,Manchester City,8,2018-2019,RW,None,None,None,2018,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2018,Liverpool,Manchester City,2018,8,Liverpool,0.4,1.0,Manchester City,0.0,0.0,2018-10-07,Martin Atkinson,Anfield,Sun,16:30,"52,117",86,draw,draw,Liverpool,Manchester City,Liverpool_Manchester_City,Liverpool_Manchester City_2018,26.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,11.0,17.0,64.7,3.0,21.0,2.0,1.0,0.0,195.0,42.0,6.0,8.0,75.0,2.0,4.0,50.0,2.0,3.0,66.7,0.0,0.0,2.0,0.0,0.0,16.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,15.0,6.0,26.0,0.0,1.0,100.0,103.0,48.0,2.0,2.0,1.0,1.0,21.0,8.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.4,1.0,0.0,0.0,86.0
James Milner,ENG,32,28.0,0,0,0,0,0,0,0,0,24.0,0.0,1,0.0,0.0,0.0,0.1,1.0,0.0,13.0,23.0,56.5,3.0,14.0,0.0,0.0,0.0,289.0,60.0,3.0,4.0,75.0,7.0,10.0,70.0,3.0,7.0,42.9,0.1,1.0,1.0,1.0,0.0,21.0,2.0,0.0,0.0,0.0,4,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,9.0,0.0,24.0,0.0,0.0,0.0,34.0,9.0,1.0,0.0,0.0,1.0,19.0,1.0,0,0,0,0,0.0,0.0,0,1.0,1.0,1.0,50.0,True,Liverpool,Manchester City,8,2018-2019,LM,None,None,None,2018,0.3111111111111111,Liverpool_Manchester_City,Liverpool_Manchester_City_2018,Liverpool,Manchester City,2018,8,Liverpool,0.4,1.0,Manchester City,0.0,0.0,2018-10-07,Martin Atkinson,Anfield,Sun,16:30,"52,117",86,draw,draw,Liverpool,Manchester City,Liverpool_Manchester_City,Liverpool_Manchester City_2018,102.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.14285714285714,0.0,3.2142857142857144,0.0,0.0,0.0,0.32142857142857145,3.2142857142857144,0.0,41.785714285714285,73.92857142857143,181.60714285714286,9.642857142857142,45.0,0.0,0.0,0.0,928.9285714285714,192.85714285714286,9.642857142857142,12.857142857142858,241.07142857142856,22.5,32.14285714285714,225.0,9.642857142857142,22.5,137.89285714285714,0.32142857142857145,3.2142857142857144,3.2142857142857144,3.2142857142857144,0.0,67.5,6.428571428571429,0.0,0.0,0.0,12.857142857142858,0.0,6.428571428571429,3.2142857142857144,3.2142857142857144,0.0,0.0,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,0.0,0.0,0.0,6.428571428571429,41.785714285714285,28.928571428571427,0.0,77.14285714285714,0.0,0.0,0.0,109.28571428571428,28.928571428571427,3.2142857142857144,0.0,0.0,3.2142857142857144,61.07142857142857,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,3.2142857142857144,3.2142857142857144,160.71428571428572,1.0,1.2857142857142858,3.2142857142857144,0.0,0.0,276.42857142857144
Naby Keita,GUI,23,62.0,0,0,0,0,0,0,0,0,30.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,73.1,2.0,15.0,2.0,0.0,0.0,253.0,59.0,13.0,17.0,76.5,4.0,5.0,80.0,1.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,10.0,16.0,5.0,1.0,30.0,0.0,0.0,0.0,91.0,68.0,1.0,0.0,0.0,1.0,21.0,1.0,0,0,0,0,0.0,0.0,0,5.0,0.0,2.0,0.0,True,Liverpool,Manchester City,8,2018-2019,LM,None,None,None,2018,0.6888888888888889,Liverpool_Manchester_City,Liverpool_Manchester_City_2018,Liverpool,Manchester City,2018,8,Liverpool,0.4,1.0,Manchester City,0.0,0.0,2018-10-07,Martin Atkinson,Anfield,Sun,16:30,"52,117",86,draw,draw,Liverpool,Manchester City,Liverpool_Manchester_City,Liverpool_Manchester City_2018,33.38709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.54838709677419,1.4516129032258065,1.4516129032258065,0.0,0.0,0.0,0.0,0.0,0.0,27.580645161290324,37.74193548387097,106.11290322580645,2.903225806451613,21.774193548387096,2.903225806451613,0.0,0.0,367.258064516129,85.64516129032258,18.870967741935484,24.677419354838708,111.04838709677419,5.806451612903226,7.258064516129032,116.12903225806451,1.4516129032258065,2.903225806451613,72.58064516129032,0.0,0.0,1.4516129032258065,0.0,0.0,37.74193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4516129032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.903225806451613,0.0,0.0,1.4516129032258065,14.516129032258064,23.225806451612904,7.258064516129032,1.4516129032258065,43.54838709677419,0.0,0.0,0.0,132.09677419354838,98.70967741935483,1.4516129032258065,0.0,0.0,1.4516129032258065,30.483870967741936,1.4516129032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.258064516129032,0.0,2.903225806451613,0.0,1.0,0.5806451612903226,1.4516129032258065,0.0,0.0,124.83870967741936
Jordan Henderson,ENG,28,90.0,0,0,0,0,0,0,0,0,75.0,3.0,1,0.0,0.0,0.0,0.0,2.0,0.0,50.0,65.0,76.9,5.0,37.0,2.0,0.0,0.0,1114.0,250.0,14.0,15.0,93.3,22.0,27.0,81.5,14.0,20.0,70.0,0.0,1.0,7.0,1.0,0.0,63.0,2.0,2.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,14.0,56.0,6.0,1.0,75.0,0.0,0.0,0.0,177.0,58.0,1.0,0.0,0.0,0.0,46.0,0.0,0,1,0,0,0.0,0.0,0,10.0,0.0,1.0,0.0,True,Liverpool,Manchester City,8,2018-2019,CM,None,None,None,2018,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2018,Liverpool,Manchester City,2018,8,Liverpool,0.4,1.0,Manchester City,0.0,0.0,2018-10-07,Martin Atkinson,Anfield,Sun,16:30,"52,117",86,draw,draw,Liverpool,Manchester City,Liverpool_Manchester_City,Liverpool_Manchester City_2018,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,50.0,65.0,76.9,5.0,37.0,2.0,0.0,0.0,1114.0,250.0,14.0,15.0,93.3,22.0,27.0,81.5,14.0,20.0,70.0,0.0,1.0,7.0,1.0,0.0,63.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,14.0,56.0,6.0,1.0,75.0,0.0,0.0,0.0,177.0,58.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.4,1.0,0.0,0.0,86.0
Georginio Wijnaldum,NED,27,90.0,0,0,0,0,0,0,1,0,55.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,46.0,84.8,4.0,33.0,0.0,0.0,0.0,615.0,114.0,21.0,24.0,87.5,11.0,12.0,91.7,5.0,6.0,83.3,0.0,0.0,3.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,12.0,36.0,10.0,1.0,55.0,0.0,0.0,0.0,200.0,93.0,1.0,0.0,4.0,1.0,37.0,3.0,0,1,0,0,0.0,0.0,0,8.0,2.0,1.0,66.7,True,Liverpool,Manchester City,8,2018-2019,RM,None,None,None,2018,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2018,Liverpool,Manchester City,2018,8,Liverpool,0.4,1.0,Manchester City,0.0,0.0,2018-10-07,Martin Atkinson,Anfield,Sun,16:30,"52,117",86,draw,draw,Liverpool,Manchester City,Liverpool_Manchester_City,Liverpool_Manchester City_2018,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,46.0,84.8,4.0,33.0,0.0,0.0,0.0,615.0,114.0,21.0,24.0,87.5,11.0,12.0,91.7,5.0,6.0,83.3,0.0,0.0,3.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,12.0,36.0,10.0,1.0,55.0,0.0,0.0,0.0,200.0,93.0,1.0,0.0,4.0,1.0,37.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,66.7,1.0,0.4,1.0,0.0,0.0,86.0
Andrew Robertson,SCO,24,90.0,0,0,0,0,0,0,0,0,66.0,3.0,0,1.0,0.0,0.0,0.0,2.0,0.0,48.0,57.0,84.2,4.0,42.0,2.0,4.0,3.0,707.0,255.0,28.0,29.0,96.6,16.0,18.0,88.9,2.0,6.0,33.3,0.0,1.0,2.0,2.0,0.0,52.0,4.0,0.0,0.0,0.0,2,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2,3.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,3.0,2.0,1.0,2.0,24.0,25.0,19.0,1.0,66.0,75.0,1.0,25.0,227.0,107.0,3.0,1.0,0.0,2.0,45.0,4.0,0,1,0,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,Liverpool,Manchester City,8,2018-2019,LB,None,None,None,2018,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2018,Liverpool,Manchester City,2018,8,Liverpool,0.4,1.0,Manchester City,0.0,0.0,2018-10-07,Martin Atkinson,Anfield,Sun,16:30,"52,117",86,draw,draw,Liverpool,Manchester City,Liverpool_Manchester_City,Liverpool_Manchester City_2018,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,48.0,57.0,84.2,4.0,42.0,2.0,4.0,3.0,707.0,255.0,28.0,29.0,96.6,16.0,18.0,88.9,2.0,6.0,33.3,0.0,1.0,2.0,2.0,0.0,52.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,3.0,2.0,1.0,2.0,24.0,25.0,19.0,1.0,66.0,75.0,1.0,25.0,227.0,107.0,3.0,1.0,0.0,2.0,45.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.4,1.0,0.0,0.0,86.0
Virgil van Dijk,NED,27,90.0,0,0,0,0,0,0,0,0,87.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,70.0,75.0,93.3,1.0,49.0,0.0,0.0,0.0,1552.0,437.0,21.0,23.0,91.3,35.0,35.0,100.0,14.0,17.0,82.4,0.0,0.0,2.0,0.0,0.0,71.0,4.0,4.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,0.0,11.0,51.0,35.0,1.0,0.0,87.0,0.0,0.0,0.0,176.0,83.0,0.0,0.0,0.0,0.0,61.0,0.0,0,2,1,0,0.0,1.0,0,5.0,0.0,1.0,0.0,True,Liverpool,Manchester City,8,2018-2019,CB,None,None,None,2018,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2018,Liverpool,Manchester City,2018,8,Liverpool,0.4,1.0,Manchester City,0.0,0.0,2018-10-07,Martin Atkinson,Anfield,Sun,16:30,"52,117",86,draw,draw,Liverpool,Manchester City,Liverpool_Manchester_City,Liverpool_Manchester City_2018,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,70.0,75.0,93.3,1.0,49.0,0.0,0.0,0.0,1552.0,437.0,21.0,23.0,91.3,35.0,35.0,100.0,14.0,17.0,82.4,0.0,0.0,2.0,0.0,0.0,71.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,0.0,11.0,51.0,35.0,1.0,0.0,87.0,0.0,0.0,0.0,176.0,83.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.4,1.0,0.0,0.0,86.0
