player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Sebastien Haller,CIV,25,90.0,1,0,0,0,4,2,0,0,51.0,3.0,0,1.0,1.0,1.0,0.0,1.0,0.0,23.0,37.0,62.2,2.0,22.0,3.0,3.0,2.0,269.0,35.0,16.0,24.0,66.7,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,26.0,24.0,5.0,51.0,66.7,1.0,33.3,130.0,76.0,2.0,1.0,2.0,1.0,39.0,6.0,0,1,1,2,0.0,0.0,0,2.0,7.0,5.0,58.3,True,West Ham,Norwich City,4,2019-2020,FW,None,None,None,2019,1.0,Norwich_City_West_Ham,Norwich_City_West_Ham_2019,West Ham,Norwich City,2019,4,West Ham,2.0,1.4,Norwich City,2.0,0.0,2019-08-31,Paul Tierney,London Stadium,Sat,15:00,"59,950",34,West Ham,Norwich City,West Ham,Norwich City,Norwich_City_West_Ham,Norwich City_West Ham_2019,25.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,51.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,23.0,37.0,62.2,2.0,22.0,3.0,3.0,2.0,269.0,35.0,16.0,24.0,66.7,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,26.0,24.0,5.0,51.0,66.7,1.0,33.3,130.0,76.0,2.0,1.0,2.0,1.0,39.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,7.0,5.0,58.3,1.0,2.0,1.4,2.0,0.0,34.0
Felipe Anderson,BRA,26,87.0,0,0,0,0,3,1,0,0,82.0,3.0,1,1.0,0.1,0.1,0.2,9.0,1.0,59.0,72.0,81.9,10.0,61.0,11.0,8.0,7.0,765.0,236.0,40.0,44.0,90.9,16.0,20.0,80.0,1.0,4.0,25.0,0.2,3.0,6.0,5.0,0.0,70.0,2.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2,0.0,2.0,1.0,0.0,5.0,0.0,5.0,0.0,1.0,4.0,1.0,0.0,1.0,5.0,47.0,31.0,5.0,82.0,87.5,1.0,12.5,548.0,332.0,7.0,6.0,1.0,2.0,66.0,7.0,0,0,2,0,0.0,0.0,0,9.0,0.0,0.0,0.0,True,West Ham,Norwich City,4,2019-2020,LM,LW,None,None,2019,0.9666666666666667,Norwich_City_West_Ham,Norwich_City_West_Ham_2019,West Ham,Norwich City,2019,4,West Ham,2.0,1.4,Norwich City,2.0,0.0,2019-08-31,Paul Tierney,London Stadium,Sat,15:00,"59,950",34,West Ham,Norwich City,West Ham,Norwich City,Norwich_City_West_Ham,Norwich City_West Ham_2019,26.896551724137932,0.0,0.0,0.0,0.0,3.103448275862069,1.0344827586206897,0.0,0.0,84.82758620689656,3.103448275862069,1.0344827586206897,1.0344827586206897,0.10344827586206896,0.10344827586206896,0.20689655172413793,9.310344827586206,1.0344827586206897,61.03448275862069,74.48275862068965,84.72413793103449,10.344827586206897,63.10344827586207,11.379310344827585,8.275862068965518,7.241379310344827,791.3793103448276,244.13793103448276,41.37931034482759,45.51724137931034,94.0344827586207,16.551724137931036,20.689655172413794,82.75862068965517,1.0344827586206897,4.137931034482759,25.862068965517242,0.20689655172413793,3.103448275862069,6.206896551724138,5.172413793103448,0.0,72.41379310344827,2.0689655172413794,1.0344827586206897,0.0,0.0,1.0344827586206897,1.0344827586206897,0.0,0.0,0.0,0.0,0.0,3.103448275862069,2.0689655172413794,0.0,2.0689655172413794,1.0344827586206897,0.0,5.172413793103448,0.0,5.172413793103448,0.0,1.0344827586206897,4.137931034482759,1.0344827586206897,0.0,1.0344827586206897,5.172413793103448,48.62068965517241,32.06896551724138,5.172413793103448,84.82758620689656,90.51724137931035,1.0344827586206897,12.931034482758621,566.8965517241379,343.44827586206895,7.241379310344827,6.206896551724138,1.0344827586206897,2.0689655172413794,68.27586206896552,7.241379310344827,0.0,0.0,2.0689655172413794,0.0,0.0,0.0,0.0,9.310344827586206,0.0,0.0,0.0,1.0,2.0689655172413794,1.4482758620689655,2.0689655172413794,0.0,35.172413793103445
Pablo Fornals,ESP,23,3.0,0,0,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,100.0,1.0,4.0,1.0,1.0,1.0,73.0,13.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,5.0,100.0,0.0,0.0,28.0,18.0,1.0,0.0,0.0,0.0,4.0,2.0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,West Ham,Norwich City,4,2019-2020,LW,None,None,None,2019,0.03333333333333333,Norwich_City_West_Ham,Norwich_City_West_Ham_2019,West Ham,Norwich City,2019,4,West Ham,2.0,1.4,Norwich City,2.0,0.0,2019-08-31,Paul Tierney,London Stadium,Sat,15:00,"59,950",34,West Ham,Norwich City,West Ham,Norwich City,Norwich_City_West_Ham,Norwich City_West Ham_2019,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,150.0,150.0,3000.0,30.0,120.0,30.0,30.0,30.0,2190.0,390.0,90.0,90.0,3000.0,60.0,60.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,90.0,0.0,150.0,3000.0,0.0,0.0,840.0,540.0,30.0,0.0,0.0,0.0,120.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,3000.0,1.0,60.0,42.0,60.0,0.0,1020.0
Manuel Lanzini,ARG,26,90.0,0,0,0,0,4,1,0,0,68.0,0.0,2,0.0,0.4,0.4,0.1,8.0,0.0,49.0,57.0,86.0,3.0,37.0,5.0,6.0,5.0,776.0,212.0,24.0,26.0,92.3,17.0,20.0,85.0,4.0,6.0,66.7,0.2,4.0,2.0,1.0,0.0,50.0,7.0,0.0,1.0,0.0,5,0.0,6.0,2.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,40.0,25.0,4.0,68.0,83.3,1.0,16.7,313.0,155.0,5.0,1.0,1.0,2.0,47.0,3.0,0,0,1,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,West Ham,Norwich City,4,2019-2020,CM,AM,None,None,2019,1.0,Norwich_City_West_Ham,Norwich_City_West_Ham_2019,West Ham,Norwich City,2019,4,West Ham,2.0,1.4,Norwich City,2.0,0.0,2019-08-31,Paul Tierney,London Stadium,Sat,15:00,"59,950",34,West Ham,Norwich City,West Ham,Norwich City,Norwich_City_West_Ham,Norwich City_West Ham_2019,26.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,68.0,0.0,2.0,0.0,0.4,0.4,0.1,8.0,0.0,49.0,57.0,86.0,3.0,37.0,5.0,6.0,5.0,776.0,212.0,24.0,26.0,92.3,17.0,20.0,85.0,4.0,6.0,66.7,0.2,4.0,2.0,1.0,0.0,50.0,7.0,0.0,1.0,0.0,5.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,40.0,25.0,4.0,68.0,83.3,1.0,16.7,313.0,155.0,5.0,1.0,1.0,2.0,47.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,1.4,2.0,0.0,34.0
Mark Noble,ENG,32,84.0,0,0,0,0,0,0,0,0,64.0,5.0,0,0.0,0.0,0.0,0.0,3.0,0.0,47.0,56.0,83.9,7.0,40.0,2.0,3.0,2.0,912.0,192.0,22.0,24.0,91.7,16.0,18.0,88.9,7.0,9.0,77.8,0.0,1.0,5.0,1.0,1.0,54.0,2.0,2.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,2.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,45.0,13.0,2.0,64.0,66.7,1.0,33.3,199.0,89.0,2.0,0.0,2.0,2.0,52.0,3.0,0,3,2,0,0.0,0.0,0,4.0,1.0,0.0,100.0,True,West Ham,Norwich City,4,2019-2020,CM,None,None,None,2019,0.9333333333333333,Norwich_City_West_Ham,Norwich_City_West_Ham_2019,West Ham,Norwich City,2019,4,West Ham,2.0,1.4,Norwich City,2.0,0.0,2019-08-31,Paul Tierney,London Stadium,Sat,15:00,"59,950",34,West Ham,Norwich City,West Ham,Norwich City,Norwich_City_West_Ham,Norwich City_West Ham_2019,34.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.57142857142857,5.357142857142857,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,0.0,50.357142857142854,60.0,89.89285714285715,7.5,42.857142857142854,2.142857142857143,3.2142857142857144,2.142857142857143,977.1428571428571,205.71428571428572,23.57142857142857,25.714285714285715,98.25,17.142857142857142,19.285714285714285,95.25,7.5,9.642857142857142,83.35714285714285,0.0,1.0714285714285714,5.357142857142857,1.0714285714285714,1.0714285714285714,57.857142857142854,2.142857142857143,2.142857142857143,0.0,2.142857142857143,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,5.357142857142857,2.142857142857143,3.2142857142857144,0.0,0.0,2.142857142857143,0.0,2.142857142857143,0.0,0.0,5.357142857142857,0.0,0.0,0.0,6.428571428571429,48.214285714285715,13.928571428571429,2.142857142857143,68.57142857142857,71.46428571428572,1.0714285714285714,35.67857142857142,213.21428571428572,95.35714285714286,2.142857142857143,0.0,2.142857142857143,2.142857142857143,55.714285714285715,3.2142857142857144,0.0,3.2142857142857144,2.142857142857143,0.0,0.0,0.0,0.0,4.285714285714286,1.0714285714285714,0.0,107.14285714285714,1.0,2.142857142857143,1.4999999999999998,2.142857142857143,0.0,36.42857142857143
Carlos Sanchez,COL,33,6.0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,1.0,4.0,0.0,0.0,0.0,92.0,21.0,3.0,3.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,West Ham,Norwich City,4,2019-2020,DM,None,None,None,2019,0.06666666666666667,Norwich_City_West_Ham,Norwich_City_West_Ham_2019,West Ham,Norwich City,2019,4,West Ham,2.0,1.4,Norwich City,2.0,0.0,2019-08-31,Paul Tierney,London Stadium,Sat,15:00,"59,950",34,West Ham,Norwich City,West Ham,Norwich City,Norwich_City_West_Ham,Norwich City_West Ham_2019,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,1500.0,15.0,60.0,0.0,0.0,0.0,1380.0,315.0,45.0,45.0,1500.0,30.0,30.0,1500.0,15.0,15.0,1500.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,75.0,0.0,90.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,30.0,21.0,30.0,0.0,510.0
Andriy Yarmolenko,UKR,29,70.0,1,0,0,0,3,1,0,0,37.0,1.0,0,0.0,0.2,0.2,0.1,4.0,2.0,26.0,28.0,92.9,1.0,26.0,3.0,1.0,1.0,355.0,66.0,15.0,17.0,88.2,8.0,8.0,100.0,1.0,1.0,100.0,0.0,2.0,2.0,0.0,0.0,27.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,18.0,8.0,37.0,100.0,0.0,0.0,145.0,48.0,1.0,2.0,3.0,0.0,33.0,6.0,0,3,1,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,West Ham,Norwich City,4,2019-2020,RM,None,None,None,2019,0.7777777777777778,Norwich_City_West_Ham,Norwich_City_West_Ham_2019,West Ham,Norwich City,2019,4,West Ham,2.0,1.4,Norwich City,2.0,0.0,2019-08-31,Paul Tierney,London Stadium,Sat,15:00,"59,950",34,West Ham,Norwich City,West Ham,Norwich City,Norwich_City_West_Ham,Norwich City_West Ham_2019,37.285714285714285,1.2857142857142856,0.0,0.0,0.0,3.857142857142857,1.2857142857142856,0.0,0.0,47.57142857142857,1.2857142857142856,0.0,0.0,0.2571428571428572,0.2571428571428572,0.1285714285714286,5.142857142857142,2.571428571428571,33.42857142857143,36.0,119.44285714285715,1.2857142857142856,33.42857142857143,3.857142857142857,1.2857142857142856,1.2857142857142856,456.42857142857144,84.85714285714286,19.285714285714285,21.857142857142858,113.4,10.285714285714285,10.285714285714285,128.57142857142856,1.2857142857142856,1.2857142857142856,128.57142857142856,0.0,2.571428571428571,2.571428571428571,0.0,0.0,34.714285714285715,1.2857142857142856,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,3.857142857142857,0.0,3.857142857142857,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,1.2857142857142856,23.142857142857142,23.142857142857142,10.285714285714285,47.57142857142857,128.57142857142856,0.0,0.0,186.42857142857142,61.714285714285715,1.2857142857142856,2.571428571428571,3.857142857142857,0.0,42.42857142857143,7.714285714285714,0.0,3.857142857142857,1.2857142857142856,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,1.2857142857142856,0.0,1.0,2.571428571428571,1.7999999999999998,2.571428571428571,0.0,43.714285714285715
Robert Snodgrass,SCO,31,20.0,0,0,0,0,1,1,1,0,22.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,15.0,19.0,78.9,2.0,12.0,2.0,1.0,0.0,188.0,79.0,13.0,14.0,92.9,1.0,1.0,100.0,1.0,4.0,25.0,0.0,1.0,1.0,0.0,0.0,17.0,2.0,0.0,1.0,0.0,2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,12.0,3.0,22.0,0.0,1.0,100.0,70.0,38.0,0.0,2.0,0.0,0.0,16.0,4.0,0,1,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,West Ham,Norwich City,4,2019-2020,RM,RW,None,None,2019,0.2222222222222222,Norwich_City_West_Ham,Norwich_City_West_Ham_2019,West Ham,Norwich City,2019,4,West Ham,2.0,1.4,Norwich City,2.0,0.0,2019-08-31,Paul Tierney,London Stadium,Sat,15:00,"59,950",34,West Ham,Norwich City,West Ham,Norwich City,Norwich_City_West_Ham,Norwich City_West Ham_2019,139.5,0.0,0.0,0.0,0.0,4.5,4.5,4.5,0.0,99.0,0.0,0.0,0.0,0.45000000000000007,0.45000000000000007,0.0,9.0,0.0,67.5,85.5,355.05000000000007,9.0,54.0,9.0,4.5,0.0,846.0,355.5,58.5,63.0,418.05000000000007,4.5,4.5,450.0,4.5,18.0,112.5,0.0,4.5,4.5,0.0,0.0,76.5,9.0,0.0,4.5,0.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,36.0,54.0,13.5,99.0,0.0,4.5,450.0,315.0,171.0,0.0,9.0,0.0,0.0,72.0,18.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,9.0,6.3,9.0,0.0,153.0
Declan Rice,ENG,20,90.0,0,0,0,0,1,0,0,0,43.0,5.0,3,1.0,0.0,0.0,0.0,1.0,0.0,29.0,33.0,87.9,2.0,22.0,1.0,1.0,1.0,503.0,107.0,11.0,13.0,84.6,14.0,16.0,87.5,3.0,3.0,100.0,0.0,0.0,1.0,0.0,0.0,31.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,3.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,8.0,2.0,0.0,4.0,12.0,28.0,4.0,0.0,43.0,100.0,0.0,0.0,217.0,89.0,2.0,0.0,0.0,1.0,23.0,1.0,0,3,0,0,0.0,0.0,0,7.0,1.0,0.0,100.0,True,West Ham,Norwich City,4,2019-2020,DM,None,None,None,2019,1.0,Norwich_City_West_Ham,Norwich_City_West_Ham_2019,West Ham,Norwich City,2019,4,West Ham,2.0,1.4,Norwich City,2.0,0.0,2019-08-31,Paul Tierney,London Stadium,Sat,15:00,"59,950",34,West Ham,Norwich City,West Ham,Norwich City,Norwich_City_West_Ham,Norwich City_West Ham_2019,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,33.0,87.9,2.0,22.0,1.0,1.0,1.0,503.0,107.0,11.0,13.0,84.6,14.0,16.0,87.5,3.0,3.0,100.0,0.0,0.0,1.0,0.0,0.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,8.0,2.0,0.0,4.0,12.0,28.0,4.0,0.0,43.0,100.0,0.0,0.0,217.0,89.0,2.0,0.0,0.0,1.0,23.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0,1.0,2.0,1.4,2.0,0.0,34.0
Arthur Masuaku,COD,25,90.0,0,1,0,0,0,0,0,0,75.0,6.0,2,2.0,0.0,0.0,0.8,2.0,1.0,54.0,60.0,90.0,3.0,39.0,3.0,3.0,2.0,834.0,378.0,33.0,34.0,97.1,18.0,19.0,94.7,3.0,5.0,60.0,0.6,2.0,5.0,1.0,1.0,54.0,6.0,0.0,0.0,0.0,2,6.0,0.0,0.0,0.0,0.0,0.0,1.0,4,5.0,0.0,1.0,3.0,3.0,100.0,0.0,1.0,1.0,8.0,2.0,0.0,3.0,21.0,41.0,13.0,1.0,75.0,66.7,1.0,33.3,284.0,179.0,0.0,1.0,1.0,0.0,47.0,2.0,0,1,2,0,0.0,0.0,0,4.0,0.0,0.0,0.0,True,West Ham,Norwich City,4,2019-2020,LB,None,None,None,2019,1.0,Norwich_City_West_Ham,Norwich_City_West_Ham_2019,West Ham,Norwich City,2019,4,West Ham,2.0,1.4,Norwich City,2.0,0.0,2019-08-31,Paul Tierney,London Stadium,Sat,15:00,"59,950",34,West Ham,Norwich City,West Ham,Norwich City,Norwich_City_West_Ham,Norwich City_West Ham_2019,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,6.0,2.0,2.0,0.0,0.0,0.8,2.0,1.0,54.0,60.0,90.0,3.0,39.0,3.0,3.0,2.0,834.0,378.0,33.0,34.0,97.1,18.0,19.0,94.7,3.0,5.0,60.0,0.6,2.0,5.0,1.0,1.0,54.0,6.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,3.0,3.0,100.0,0.0,1.0,1.0,8.0,2.0,0.0,3.0,21.0,41.0,13.0,1.0,75.0,66.7,1.0,33.3,284.0,179.0,0.0,1.0,1.0,0.0,47.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.4,2.0,0.0,34.0
