player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Roberto Firmino,BRA,29,72.0,0,0,0,0,0,0,0,0,32.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,23.0,29.0,79.3,1.0,22.0,1.0,3.0,2.0,354.0,107.0,14.0,17.0,82.4,5.0,7.0,71.4,3.0,4.0,75.0,0.0,0.0,2.0,0.0,0.0,28.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,21.0,7.0,2.0,32.0,66.7,1.0,33.3,95.0,46.0,0.0,0.0,2.0,0.0,27.0,3.0,0,2,1,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,2020-2021,FW,None,None,None,0.8,Liverpool_Wolves,Liverpool_Wolves_2020,1.2,0.4,4.0,0.0,2020-12-06,Craig Pawson,Anfield,Sun,19:15,"2,000",115,Liverpool,Wolves,36.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,28.75,36.25,99.12499999999999,1.25,27.5,1.25,3.75,2.5,442.5,133.75,17.5,21.25,103.0,6.25,8.75,89.25,3.75,5.0,93.75,0.0,0.0,2.5,0.0,0.0,35.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,6.25,26.25,8.75,2.5,40.0,83.375,1.25,41.62499999999999,118.75,57.5,0.0,0.0,2.5,0.0,33.75,3.75,0.0,2.5,1.25,0.0,0.0,0.0,0.0,1.25,0.0,1.25,0.0,1.0,1.4999999999999998,0.5,5.0,0.0,143.75
Diogo Jota,POR,24,18.0,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,88.9,2.0,8.0,1.0,0.0,0.0,123.0,30.0,4.0,4.0,100.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,9.0,0.0,0.0,0.0,35.0,16.0,0.0,0.0,0.0,0.0,9.0,1.0,0,1,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,True,2020-2021,FW,None,None,None,0.2,Liverpool_Wolves,Liverpool_Wolves_2020,1.2,0.4,4.0,0.0,2020-12-06,Craig Pawson,Anfield,Sun,19:15,"2,000",115,Liverpool,Wolves,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,40.0,45.0,444.5,10.0,40.0,5.0,0.0,0.0,615.0,150.0,20.0,20.0,500.0,15.0,20.0,375.0,5.0,5.0,500.0,0.0,5.0,5.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,20.0,0.0,45.0,0.0,0.0,0.0,175.0,80.0,0.0,0.0,0.0,0.0,45.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,1.0,5.999999999999999,2.0,20.0,0.0,575.0
Sadio Mane,SEN,28,90.0,0,0,0,0,5,1,0,0,52.0,1.0,0,0.0,0.3,0.3,0.0,6.0,1.0,28.0,38.0,73.7,1.0,36.0,3.0,5.0,2.0,341.0,37.0,21.0,24.0,87.5,4.0,9.0,44.4,1.0,3.0,33.3,0.1,1.0,1.0,1.0,0.0,37.0,1.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,33.0,10.0,52.0,40.0,3.0,60.0,159.0,62.0,1.0,1.0,3.0,2.0,47.0,14.0,0,0,4,0,0.0,0.0,0,1.0,2.0,0.0,100.0,True,2020-2021,LW,None,None,None,1.0,Liverpool_Wolves,Liverpool_Wolves_2020,1.2,0.4,4.0,0.0,2020-12-06,Craig Pawson,Anfield,Sun,19:15,"2,000",115,Liverpool,Wolves,28.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,52.0,1.0,0.0,0.0,0.3,0.3,0.0,6.0,1.0,28.0,38.0,73.7,1.0,36.0,3.0,5.0,2.0,341.0,37.0,21.0,24.0,87.5,4.0,9.0,44.4,1.0,3.0,33.3,0.1,1.0,1.0,1.0,0.0,37.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,33.0,10.0,52.0,40.0,3.0,60.0,159.0,62.0,1.0,1.0,3.0,2.0,47.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0,1.0,1.2,0.4,4.0,0.0,115.0
Mohamed Salah,EGY,28,90.0,1,1,0,0,3,2,0,0,54.0,0.0,0,0.0,0.5,0.5,0.3,3.0,1.0,41.0,46.0,89.1,6.0,37.0,6.0,3.0,2.0,622.0,121.0,26.0,27.0,96.3,12.0,13.0,92.3,2.0,2.0,100.0,0.5,1.0,3.0,2.0,1.0,46.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,30.0,2.0,54.0,66.7,1.0,33.3,274.0,141.0,6.0,1.0,3.0,2.0,43.0,12.0,0,0,1,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2020-2021,RW,None,None,None,1.0,Liverpool_Wolves,Liverpool_Wolves_2020,1.2,0.4,4.0,0.0,2020-12-06,Craig Pawson,Anfield,Sun,19:15,"2,000",115,Liverpool,Wolves,28.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,54.0,0.0,0.0,0.0,0.5,0.5,0.3,3.0,1.0,41.0,46.0,89.1,6.0,37.0,6.0,3.0,2.0,622.0,121.0,26.0,27.0,96.3,12.0,13.0,92.3,2.0,2.0,100.0,0.5,1.0,3.0,2.0,1.0,46.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,30.0,2.0,54.0,66.7,1.0,33.3,274.0,141.0,6.0,1.0,3.0,2.0,43.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2,0.4,4.0,0.0,115.0
Curtis Jones,ENG,19,90.0,0,0,0,0,1,1,0,0,94.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,77.0,83.0,92.8,9.0,68.0,2.0,2.0,1.0,1121.0,295.0,46.0,49.0,93.9,26.0,26.0,100.0,3.0,5.0,60.0,0.1,0.0,3.0,3.0,0.0,81.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,3.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,3.0,4.0,1.0,2.0,13.0,64.0,17.0,2.0,94.0,50.0,1.0,50.0,352.0,192.0,1.0,0.0,0.0,1.0,71.0,5.0,0,2,0,0,0.0,0.0,0,5.0,1.0,1.0,50.0,True,2020-2021,LM,RM,None,None,1.0,Liverpool_Wolves,Liverpool_Wolves_2020,1.2,0.4,4.0,0.0,2020-12-06,Craig Pawson,Anfield,Sun,19:15,"2,000",115,Liverpool,Wolves,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,77.0,83.0,92.8,9.0,68.0,2.0,2.0,1.0,1121.0,295.0,46.0,49.0,93.9,26.0,26.0,100.0,3.0,5.0,60.0,0.1,0.0,3.0,3.0,0.0,81.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,3.0,4.0,1.0,2.0,13.0,64.0,17.0,2.0,94.0,50.0,1.0,50.0,352.0,192.0,1.0,0.0,0.0,1.0,71.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0,1.0,1.2,0.4,4.0,0.0,115.0
Georginio Wijnaldum,NED,30,90.0,1,0,0,0,1,1,0,0,46.0,0.0,1,0.0,0.1,0.1,0.0,2.0,1.0,41.0,42.0,97.6,5.0,40.0,1.0,0.0,0.0,608.0,125.0,24.0,24.0,100.0,16.0,16.0,100.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,34.0,6.0,0.0,46.0,0.0,0.0,0.0,172.0,86.0,0.0,0.0,1.0,1.0,42.0,1.0,0,0,2,0,0.0,0.0,0,3.0,1.0,0.0,100.0,True,2020-2021,CM,None,None,None,1.0,Liverpool_Wolves,Liverpool_Wolves_2020,1.2,0.4,4.0,0.0,2020-12-06,Craig Pawson,Anfield,Sun,19:15,"2,000",115,Liverpool,Wolves,30.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,0.0,1.0,0.0,0.1,0.1,0.0,2.0,1.0,41.0,42.0,97.6,5.0,40.0,1.0,0.0,0.0,608.0,125.0,24.0,24.0,100.0,16.0,16.0,100.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,34.0,6.0,0.0,46.0,0.0,0.0,0.0,172.0,86.0,0.0,0.0,1.0,1.0,42.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,1.0,1.2,0.4,4.0,0.0,115.0
Jordan Henderson,ENG,30,80.0,0,1,0,0,0,0,0,0,93.0,1.0,0,0.0,0.0,0.0,0.2,4.0,2.0,81.0,91.0,89.0,12.0,66.0,1.0,2.0,1.0,1485.0,495.0,33.0,33.0,100.0,35.0,38.0,92.1,11.0,14.0,78.6,0.1,3.0,11.0,3.0,0.0,85.0,6.0,4.0,0.0,0.0,2,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,68.0,15.0,0.0,93.0,50.0,1.0,50.0,298.0,104.0,0.0,0.0,0.0,0.0,78.0,3.0,0,0,1,0,0.0,0.0,0,7.0,0.0,1.0,0.0,True,2020-2021,RM,None,None,None,0.8888888888888888,Liverpool_Wolves,Liverpool_Wolves_2020,1.2,0.4,4.0,0.0,2020-12-06,Craig Pawson,Anfield,Sun,19:15,"2,000",115,Liverpool,Wolves,33.75,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,104.625,1.125,0.0,0.0,0.0,0.0,0.22500000000000003,4.5,2.25,91.125,102.375,100.125,13.5,74.25,1.125,2.25,1.125,1670.625,556.875,37.125,37.125,112.5,39.375,42.75,103.6125,12.375,15.75,88.425,0.11250000000000002,3.375,12.375,3.375,0.0,95.625,6.75,4.5,0.0,0.0,2.25,0.0,2.25,0.0,1.125,0.0,0.0,1.125,1.125,0.0,1.125,0.0,1.125,1.125,112.5,0.0,0.0,0.0,1.125,0.0,0.0,0.0,13.5,76.5,16.875,0.0,104.625,56.25,1.125,56.25,335.25,117.0,0.0,0.0,0.0,0.0,87.75,3.375,0.0,0.0,1.125,0.0,0.0,0.0,0.0,7.875,0.0,1.125,0.0,1.0,1.35,0.45000000000000007,4.5,0.0,129.375
Naby Keita,GUI,25,10.0,0,0,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,2.0,0.0,1.0,0.0,28.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,100.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,1,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2020-2021,LM,None,None,None,0.1111111111111111,Liverpool_Wolves,Liverpool_Wolves_2020,1.2,0.4,4.0,0.0,2020-12-06,Craig Pawson,Anfield,Sun,19:15,"2,000",115,Liverpool,Wolves,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,36.0,675.0,0.0,18.0,0.0,9.0,0.0,252.0,0.0,27.0,27.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,9.0,900.0,27.0,18.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,10.8,3.6000000000000005,36.0,0.0,1035.0
Andrew Robertson,SCO,26,90.0,0,0,0,0,0,0,0,0,82.0,2.0,0,0.0,0.0,0.0,0.1,2.0,0.0,62.0,75.0,82.7,3.0,48.0,1.0,3.0,1.0,1006.0,326.0,32.0,32.0,100.0,26.0,31.0,83.9,4.0,11.0,36.4,0.2,2.0,5.0,1.0,0.0,66.0,9.0,4.0,0.0,0.0,8,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,16.0,51.0,16.0,4.0,82.0,33.3,2.0,66.7,230.0,159.0,0.0,1.0,0.0,2.0,51.0,6.0,0,0,0,1,0.0,0.0,0,7.0,0.0,0.0,0.0,True,2020-2021,LB,None,None,None,1.0,Liverpool_Wolves,Liverpool_Wolves_2020,1.2,0.4,4.0,0.0,2020-12-06,Craig Pawson,Anfield,Sun,19:15,"2,000",115,Liverpool,Wolves,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,2.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,62.0,75.0,82.7,3.0,48.0,1.0,3.0,1.0,1006.0,326.0,32.0,32.0,100.0,26.0,31.0,83.9,4.0,11.0,36.4,0.2,2.0,5.0,1.0,0.0,66.0,9.0,4.0,0.0,0.0,8.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,16.0,51.0,16.0,4.0,82.0,33.3,2.0,66.7,230.0,159.0,0.0,1.0,0.0,2.0,51.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.2,0.4,4.0,0.0,115.0
Fabinho,BRA,27,90.0,0,0,0,0,0,0,0,0,86.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,73.0,78.0,93.6,1.0,63.0,0.0,0.0,0.0,1326.0,515.0,25.0,27.0,92.6,43.0,43.0,100.0,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,76.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,5.0,0.0,8.0,32.0,55.0,0.0,0.0,86.0,0.0,0.0,0.0,235.0,123.0,0.0,0.0,0.0,0.0,68.0,0.0,0,1,1,0,0.0,0.0,0,6.0,2.0,2.0,50.0,True,2020-2021,CB,None,None,None,1.0,Liverpool_Wolves,Liverpool_Wolves_2020,1.2,0.4,4.0,0.0,2020-12-06,Craig Pawson,Anfield,Sun,19:15,"2,000",115,Liverpool,Wolves,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73.0,78.0,93.6,1.0,63.0,0.0,0.0,0.0,1326.0,515.0,25.0,27.0,92.6,43.0,43.0,100.0,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,76.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,5.0,0.0,8.0,32.0,55.0,0.0,0.0,86.0,0.0,0.0,0.0,235.0,123.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,50.0,1.0,1.2,0.4,4.0,0.0,115.0
