player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Sebastien Haller,CIV,25,90.0,0,0,0,0,0,0,0,0,26.0,0.0,0,1.0,0.0,0.0,0.1,3.0,0.0,14.0,19.0,73.7,1.0,16.0,0.0,1.0,0.0,199.0,30.0,7.0,8.0,87.5,6.0,7.0,85.7,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,12.0,4.0,26.0,0.0,1.0,100.0,40.0,12.0,1.0,0.0,1.0,0.0,21.0,8.0,0,2,3,2,0.0,0.0,0,1.0,3.0,12.0,20.0,True,2019-2020,FW,None,None,None,1.0,Sheffield_Utd_West_Ham,Sheffield_Utd_West_Ham_2019,2.3,1.0,1.0,1.0,2019-10-26,David Coote,London Stadium,Sat,15:00,"59,878",102,draw,draw,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,14.0,19.0,73.7,1.0,16.0,0.0,1.0,0.0,199.0,30.0,7.0,8.0,87.5,6.0,7.0,85.7,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,12.0,4.0,26.0,0.0,1.0,100.0,40.0,12.0,1.0,0.0,1.0,0.0,21.0,8.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,12.0,20.0,1.0,2.3,1.0,1.0,1.0,102.0
Felipe Anderson,BRA,26,65.0,0,0,0,0,2,1,0,0,51.0,2.0,0,1.0,0.6,0.6,0.0,2.0,0.0,35.0,43.0,81.4,7.0,33.0,4.0,3.0,3.0,548.0,127.0,21.0,24.0,87.5,11.0,14.0,78.6,3.0,3.0,100.0,0.1,0.0,1.0,4.0,0.0,43.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,28.0,22.0,3.0,51.0,100.0,0.0,0.0,213.0,125.0,4.0,1.0,2.0,2.0,40.0,7.0,0,0,1,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,2019-2020,LM,None,None,None,0.7222222222222222,Sheffield_Utd_West_Ham,Sheffield_Utd_West_Ham_2019,2.3,1.0,1.0,1.0,2019-10-26,David Coote,London Stadium,Sat,15:00,"59,878",102,draw,draw,36.0,0.0,0.0,0.0,0.0,2.769230769230769,1.3846153846153846,0.0,0.0,70.61538461538461,2.769230769230769,0.0,1.3846153846153846,0.8307692307692307,0.8307692307692307,0.0,2.769230769230769,0.0,48.46153846153846,59.53846153846154,112.70769230769231,9.692307692307692,45.69230769230769,5.538461538461538,4.153846153846154,4.153846153846154,758.7692307692308,175.84615384615384,29.076923076923077,33.23076923076923,121.15384615384616,15.230769230769232,19.384615384615383,108.83076923076922,4.153846153846154,4.153846153846154,138.46153846153845,0.13846153846153847,0.0,1.3846153846153846,5.538461538461538,0.0,59.53846153846154,0.0,0.0,0.0,0.0,1.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,2.769230769230769,1.3846153846153846,0.0,2.769230769230769,0.0,0.0,2.769230769230769,0.0,2.769230769230769,0.0,1.3846153846153846,2.769230769230769,0.0,0.0,1.3846153846153846,4.153846153846154,38.76923076923077,30.461538461538463,4.153846153846154,70.61538461538461,138.46153846153845,0.0,0.0,294.9230769230769,173.07692307692307,5.538461538461538,1.3846153846153846,2.769230769230769,2.769230769230769,55.38461538461539,9.692307692307692,0.0,0.0,1.3846153846153846,0.0,0.0,0.0,0.0,8.307692307692308,0.0,0.0,0.0,1.0,3.1846153846153844,1.3846153846153846,1.3846153846153846,1.3846153846153846,141.23076923076923
Manuel Lanzini,ARG,26,25.0,0,0,0,0,0,0,0,0,22.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,20.0,23.0,87.0,4.0,14.0,0.0,0.0,0.0,460.0,139.0,8.0,9.0,88.9,7.0,7.0,100.0,5.0,7.0,71.4,0.1,1.0,5.0,0.0,0.0,21.0,2.0,1.0,1.0,2.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,22.0,0.0,0.0,0.0,62.0,24.0,0.0,0.0,0.0,0.0,17.0,0.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,2019-2020,CM,None,None,None,0.2777777777777778,Sheffield_Utd_West_Ham,Sheffield_Utd_West_Ham_2019,2.3,1.0,1.0,1.0,2019-10-26,David Coote,London Stadium,Sat,15:00,"59,878",102,draw,draw,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2,0.0,0.0,0.0,0.0,0.0,0.36,3.5999999999999996,0.0,72.0,82.8,313.2,14.399999999999999,50.4,0.0,0.0,0.0,1656.0,500.4,28.799999999999997,32.4,320.04,25.2,25.2,360.0,18.0,25.2,257.04,0.36,3.5999999999999996,18.0,0.0,0.0,75.6,7.199999999999999,3.5999999999999996,3.5999999999999996,7.199999999999999,3.5999999999999996,0.0,3.5999999999999996,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.39999999999999,14.399999999999999,0.0,79.2,0.0,0.0,0.0,223.2,86.39999999999999,0.0,0.0,0.0,0.0,61.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999999,0.0,0.0,0.0,1.0,8.28,3.5999999999999996,3.5999999999999996,3.5999999999999996,367.2
Robert Snodgrass,SCO,32,85.0,1,0,0,0,2,1,0,0,58.0,1.0,0,1.0,0.9,0.9,0.1,2.0,0.0,32.0,50.0,64.0,2.0,29.0,5.0,2.0,1.0,545.0,112.0,14.0,16.0,87.5,16.0,17.0,94.1,2.0,12.0,16.7,0.1,2.0,2.0,0.0,0.0,41.0,9.0,0.0,0.0,0.0,17,0.0,9.0,6.0,3.0,0.0,0.0,5.0,0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,20.0,37.0,5.0,58.0,50.0,1.0,50.0,207.0,62.0,1.0,3.0,1.0,1.0,36.0,14.0,0,1,2,0,0.0,0.0,0,6.0,0.0,2.0,0.0,True,2019-2020,CM,LM,None,None,0.9444444444444444,Sheffield_Utd_West_Ham,Sheffield_Utd_West_Ham_2019,2.3,1.0,1.0,1.0,2019-10-26,David Coote,London Stadium,Sat,15:00,"59,878",102,draw,draw,33.88235294117647,1.0588235294117647,0.0,0.0,0.0,2.1176470588235294,1.0588235294117647,0.0,0.0,61.411764705882355,1.0588235294117647,0.0,1.0588235294117647,0.9529411764705883,0.9529411764705883,0.10588235294117648,2.1176470588235294,0.0,33.88235294117647,52.94117647058824,67.76470588235294,2.1176470588235294,30.705882352941178,5.294117647058823,2.1176470588235294,1.0588235294117647,577.0588235294118,118.58823529411765,14.823529411764707,16.941176470588236,92.64705882352942,16.941176470588236,18.0,99.63529411764705,2.1176470588235294,12.705882352941178,17.68235294117647,0.10588235294117648,2.1176470588235294,2.1176470588235294,0.0,0.0,43.411764705882355,9.529411764705882,0.0,0.0,0.0,18.0,0.0,9.529411764705882,6.352941176470589,3.1764705882352944,0.0,0.0,5.294117647058823,0.0,1.0588235294117647,0.0,0.0,0.0,2.1176470588235294,0.0,2.1176470588235294,0.0,1.0588235294117647,1.0588235294117647,0.0,0.0,0.0,1.0588235294117647,21.176470588235293,39.1764705882353,5.294117647058823,61.411764705882355,52.94117647058824,1.0588235294117647,52.94117647058824,219.1764705882353,65.64705882352942,1.0588235294117647,3.1764705882352944,1.0588235294117647,1.0588235294117647,38.11764705882353,14.823529411764707,0.0,1.0588235294117647,2.1176470588235294,0.0,0.0,0.0,0.0,6.352941176470589,0.0,2.1176470588235294,0.0,1.0,2.4352941176470586,1.0588235294117647,1.0588235294117647,1.0588235294117647,108.0
Albian Ajeti,SUI,22,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,True,2019-2020,LM,None,None,None,0.05555555555555555,Sheffield_Utd_West_Ham,Sheffield_Utd_West_Ham_2019,2.3,1.0,1.0,1.0,2019-10-26,David Coote,London Stadium,Sat,15:00,"59,878",102,draw,draw,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,41.4,18.0,18.0,18.0,1836.0
Mark Noble,ENG,32,77.0,0,0,0,0,1,0,0,0,61.0,1.0,0,0.0,0.1,0.1,0.0,1.0,0.0,47.0,58.0,81.0,12.0,34.0,2.0,0.0,0.0,869.0,273.0,19.0,22.0,86.4,22.0,28.0,78.6,5.0,6.0,83.3,0.0,0.0,5.0,1.0,0.0,53.0,5.0,2.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,4.0,25.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,40.0,16.0,1.0,61.0,0.0,0.0,0.0,173.0,100.0,0.0,0.0,1.0,0.0,47.0,4.0,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,True,2019-2020,CM,None,None,None,0.8555555555555555,Sheffield_Utd_West_Ham,Sheffield_Utd_West_Ham_2019,2.3,1.0,1.0,1.0,2019-10-26,David Coote,London Stadium,Sat,15:00,"59,878",102,draw,draw,37.40259740259741,0.0,0.0,0.0,0.0,1.168831168831169,0.0,0.0,0.0,71.2987012987013,1.168831168831169,0.0,0.0,0.1168831168831169,0.1168831168831169,0.0,1.168831168831169,0.0,54.935064935064936,67.79220779220779,94.67532467532467,14.025974025974026,39.740259740259745,2.337662337662338,0.0,0.0,1015.7142857142858,319.0909090909091,22.20779220779221,25.714285714285715,100.987012987013,25.714285714285715,32.72727272727273,91.87012987012987,5.8441558441558445,7.012987012987013,97.36363636363636,0.0,0.0,5.8441558441558445,1.168831168831169,0.0,61.94805194805195,5.8441558441558445,2.337662337662338,0.0,0.0,2.337662337662338,1.168831168831169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168831168831169,1.168831168831169,4.675324675324676,29.22077922077922,3.5064935064935066,0.0,0.0,1.168831168831169,0.0,0.0,2.337662337662338,5.8441558441558445,46.753246753246756,18.701298701298704,1.168831168831169,71.2987012987013,0.0,0.0,0.0,202.2077922077922,116.88311688311688,0.0,0.0,1.168831168831169,0.0,54.935064935064936,4.675324675324676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5064935064935066,0.0,0.0,0.0,1.0,2.688311688311688,1.168831168831169,1.168831168831169,1.168831168831169,119.22077922077922
Pablo Fornals,ESP,23,13.0,0,0,0,0,0,0,0,0,8.0,1.0,0,0.0,0.0,0.0,0.4,1.0,0.0,4.0,7.0,57.1,0.0,2.0,1.0,0.0,0.0,45.0,22.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,8.0,0.0,0.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,5.0,1.0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,2019-2020,CM,None,None,None,0.14444444444444443,Sheffield_Utd_West_Ham,Sheffield_Utd_West_Ham_2019,2.3,1.0,1.0,1.0,2019-10-26,David Coote,London Stadium,Sat,15:00,"59,878",102,draw,draw,159.23076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.38461538461539,6.923076923076923,0.0,0.0,0.0,0.0,2.7692307692307696,6.923076923076923,0.0,27.692307692307693,48.46153846153847,395.3076923076924,0.0,13.846153846153847,6.923076923076923,0.0,0.0,311.53846153846155,152.30769230769232,20.76923076923077,20.76923076923077,692.3076923076924,6.923076923076923,13.846153846153847,346.1538461538462,0.0,0.0,0.0,1.3846153846153848,6.923076923076923,6.923076923076923,6.923076923076923,6.923076923076923,48.46153846153847,0.0,0.0,0.0,0.0,13.846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,0.0,0.0,6.923076923076923,0.0,6.923076923076923,6.923076923076923,692.3076923076924,0.0,0.0,0.0,6.923076923076923,0.0,0.0,0.0,6.923076923076923,20.76923076923077,27.692307692307693,6.923076923076923,55.38461538461539,0.0,0.0,0.0,124.61538461538463,90.00000000000001,0.0,0.0,0.0,0.0,34.61538461538462,6.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,6.923076923076923,0.0,692.3076923076924,1.0,15.923076923076923,6.923076923076923,6.923076923076923,6.923076923076923,706.1538461538462
Andriy Yarmolenko,UKR,30,90.0,0,1,0,0,3,0,0,0,49.0,1.0,0,0.0,0.6,0.6,1.8,7.0,1.0,31.0,39.0,79.5,6.0,31.0,3.0,2.0,1.0,521.0,105.0,17.0,18.0,94.4,12.0,14.0,85.7,2.0,6.0,33.3,0.6,4.0,0.0,1.0,0.0,39.0,0.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,22.0,20.0,6.0,49.0,50.0,1.0,50.0,170.0,89.0,3.0,4.0,2.0,2.0,40.0,7.0,0,0,0,2,0.0,0.0,0,7.0,0.0,2.0,0.0,True,2019-2020,RM,None,None,None,1.0,Sheffield_Utd_West_Ham,Sheffield_Utd_West_Ham_2019,2.3,1.0,1.0,1.0,2019-10-26,David Coote,London Stadium,Sat,15:00,"59,878",102,draw,draw,30.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.6,0.6,1.8,7.0,1.0,31.0,39.0,79.5,6.0,31.0,3.0,2.0,1.0,521.0,105.0,17.0,18.0,94.4,12.0,14.0,85.7,2.0,6.0,33.3,0.6,4.0,0.0,1.0,0.0,39.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,22.0,20.0,6.0,49.0,50.0,1.0,50.0,170.0,89.0,3.0,4.0,2.0,2.0,40.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,2.3,1.0,1.0,1.0,102.0
Declan Rice,ENG,20,90.0,0,0,0,0,1,1,0,0,69.0,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,56.0,62.0,90.3,3.0,43.0,2.0,3.0,3.0,1169.0,243.0,20.0,23.0,87.0,26.0,26.0,100.0,9.0,12.0,75.0,0.0,0.0,3.0,0.0,0.0,61.0,1.0,1.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,0.0,2.0,4.0,50.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,10.0,55.0,4.0,1.0,69.0,100.0,0.0,0.0,254.0,123.0,1.0,0.0,0.0,1.0,50.0,1.0,0,0,1,0,0.0,0.0,0,8.0,0.0,1.0,0.0,True,2019-2020,DM,None,None,None,1.0,Sheffield_Utd_West_Ham,Sheffield_Utd_West_Ham_2019,2.3,1.0,1.0,1.0,2019-10-26,David Coote,London Stadium,Sat,15:00,"59,878",102,draw,draw,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,56.0,62.0,90.3,3.0,43.0,2.0,3.0,3.0,1169.0,243.0,20.0,23.0,87.0,26.0,26.0,100.0,9.0,12.0,75.0,0.0,0.0,3.0,0.0,0.0,61.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,50.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,10.0,55.0,4.0,1.0,69.0,100.0,0.0,0.0,254.0,123.0,1.0,0.0,0.0,1.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,2.3,1.0,1.0,1.0,102.0
Aaron Cresswell,ENG,29,90.0,0,0,0,0,1,1,0,0,96.0,0.0,0,1.0,0.3,0.3,0.0,2.0,0.0,71.0,87.0,81.6,12.0,43.0,1.0,1.0,1.0,1109.0,457.0,41.0,42.0,97.6,24.0,28.0,85.7,5.0,13.0,38.5,0.0,0.0,10.0,0.0,0.0,66.0,19.0,1.0,0.0,0.0,3,18.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,23.0,55.0,18.0,3.0,96.0,100.0,0.0,0.0,129.0,60.0,1.0,0.0,0.0,0.0,59.0,3.0,0,1,2,0,0.0,0.0,0,7.0,0.0,3.0,0.0,True,2019-2020,LB,None,None,None,1.0,Sheffield_Utd_West_Ham,Sheffield_Utd_West_Ham_2019,2.3,1.0,1.0,1.0,2019-10-26,David Coote,London Stadium,Sat,15:00,"59,878",102,draw,draw,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,96.0,0.0,0.0,1.0,0.3,0.3,0.0,2.0,0.0,71.0,87.0,81.6,12.0,43.0,1.0,1.0,1.0,1109.0,457.0,41.0,42.0,97.6,24.0,28.0,85.7,5.0,13.0,38.5,0.0,0.0,10.0,0.0,0.0,66.0,19.0,1.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,23.0,55.0,18.0,3.0,96.0,100.0,0.0,0.0,129.0,60.0,1.0,0.0,0.0,0.0,59.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,1.0,2.3,1.0,1.0,1.0,102.0
