ranker,player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23-235,2000,3,3,254,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,3,11,8,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.01,0.05,Matches,2023,1,0,0.0,0.35,0.00,0.00,,23.9,0,0.02,0.0,0.0,114,143,79.7,1861,646,59,67,88.1,42,52,80.8,10,14,71.4,0.2,-0.1,2,7,4,2,113,30,4,2,1,4,26,0,0,0,0,0,5,7,2.48,4,1,0,0,2,0,0,0.00,0,0,0,0,0,0,5,3,3,2,0,4,8,50.0,4,5,3,2,0,5,6,0,170,9,54,85,33,0,170,10,4,40.0,3,30.0,79,535,276,5,0,1,0,94,85,94.1,85,2,0,,0,0.33,1,6,-5,-1.77,-7.40,2.3,6.0,-3.7,-1.31,-5.78,0,3,9,0,0,0,0,17,2,4,33.3,3
2,Brenden Aaronson,us USA,MF,Union Berlin,de Bundesliga,22-309,2000,2,2,95,1.1,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,13,22,59.1,154,56,10,12,83.3,2,5,40.0,0,1,0.0,0.0,0.0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,3,1,0.95,1,0,0,0,0,0,1,0.95,1,0,0,0,0,0,2,0,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0,30,2,5,16,9,0,30,2,0,0.0,2,100.0,18,41,14,0,0,0,0,21,48,52.8,48,0,0,,0,3.00,4,1,+3,+2.84,-0.33,1.4,1.6,-0.2,-0.18,+0.60,1,1,0,0,0,0,0,3,0,2,0.0,3
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-333,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,112,125,89.6,2293,691,33,38,86.8,69,70,98.6,10,16,62.5,0.0,0.0,1,10,0,0,116,8,3,0,3,0,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,2,1,3,0,1,6,16.7,5,0,0,0,2,6,6,0,146,15,59,86,2,1,146,0,0,,0,,96,454,266,0,0,1,0,87,90,100.0,90,2,0,,0,1.50,3,2,+1,+0.50,,3.1,1.5,+1.7,+0.83,,0,1,0,0,0,0,0,17,5,7,41.7,3
4,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-154,2000,3,3,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,10,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,98,108,90.7,1483,338,53,58,91.4,37,41,90.2,5,6,83.3,0.1,0.0,1,9,0,0,103,5,5,0,0,0,0,0,0,0,0,0,3,3,1.20,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,2,1,0,2,2,100.0,0,2,0,2,0,3,0,0,121,2,15,75,32,1,121,3,0,0.0,2,66.7,96,475,205,5,0,1,0,90,75,83.3,75,2,0,,0,0.33,3,5,-2,-0.80,+1.20,1.9,4.4,-2.5,-1.00,+0.58,0,6,2,0,0,2,0,9,0,1,0.0,3
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-207,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,7,0,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08,Matches,2023,2,0,0.0,1.00,0.00,0.00,,26.7,0,0.05,-0.1,-0.1,91,95,95.8,1724,423,34,35,97.1,47,49,95.9,10,10,100.0,0.0,-0.1,2,11,1,0,86,9,9,0,0,0,0,0,0,0,0,0,1,3,1.50,1,0,0,0,0,2,0,0.00,0,0,0,0,0,0,7,3,5,2,0,2,10,20.0,8,6,2,4,8,15,3,0,122,4,50,65,8,0,122,2,2,100.0,0,0.0,80,320,97,2,0,1,0,73,90,100.0,90,2,0,,0,1.00,1,1,0,0.00,,1.0,3.0,-2.0,-1.00,,0,0,2,0,0,0,0,10,0,0,,3
6,Abner,br BRA,DF,Betis,es La Liga,23-092,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,8,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,2023,2,0,0.0,1.00,0.00,0.00,,15.6,0,0.03,-0.1,-0.1,86,110,78.2,1214,521,57,64,89.1,19,25,76.0,6,15,40.0,0.0,0.0,1,4,2,0,93,17,0,0,0,8,17,0,0,0,0,0,2,4,2.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,3,2,1,0,3,4,75.0,1,8,2,6,4,7,5,0,136,15,49,55,35,4,136,3,2,66.7,1,33.3,70,290,138,1,0,1,3,72,90,100.0,90,2,0,,0,2.00,2,1,+1,+0.50,,1.8,1.4,+0.4,+0.20,,0,0,0,1,0,0,0,13,0,0,,3
7,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23-190,2000,2,2,171,1.9,2,0,2,1,1,1,0,0,1.6,0.8,0.1,1.0,6,3,14,1.05,0.00,1.05,0.53,0.53,0.86,0.05,0.92,0.45,0.50,Matches,2023,5,2,40.0,2.63,1.05,0.20,0.50,12.3,0,0.17,+0.4,+0.2,20,32,62.5,321,74,10,13,76.9,9,11,81.8,1,2,50.0,0.1,-0.1,3,1,2,0,30,2,0,0,0,1,2,0,0,0,0,0,2,4,2.11,3,0,0,0,1,0,1,0.53,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,51,0,2,16,34,11,50,3,1,33.3,2,66.7,40,311,157,4,2,8,0,41,86,95.0,86,0,0,,0,2.00,2,2,0,0.00,-10.00,2.2,2.9,-0.7,-0.37,+0.72,0,4,5,1,1,0,0,3,3,1,75.0,3
8,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24-170,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,36,52,69.2,1021,505,9,12,75.0,14,16,87.5,13,23,56.5,0.0,0.0,0,5,0,0,49,3,3,0,5,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,1,1,0,2,2,10,0,68,15,37,29,2,0,68,0,0,,0,,32,176,118,2,0,1,0,29,90,100.0,90,2,0,,0,1.50,4,4,0,0.00,,2.1,1.3,+0.8,+0.40,,0,1,2,0,0,0,1,10,6,0,100.0,3
9,Marcos Acuna,ar ARG,DF,Sevilla,es La Liga,31-303,1991,2,2,135,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,6,2,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Matches,2023,3,0,0.0,2.00,0.00,0.00,,28.4,0,0.02,-0.1,-0.1,75,103,72.8,1716,686,24,30,80.0,31,39,79.5,18,29,62.1,0.1,-0.1,1,10,2,1,79,24,1,0,2,8,21,2,0,2,0,0,3,5,3.33,3,1,1,0,0,0,0,0.00,0,0,0,0,0,0,4,3,2,2,0,3,4,75.0,1,2,0,2,3,7,2,0,122,2,38,58,28,1,122,3,1,33.3,0,0.0,56,249,138,1,1,3,3,61,68,50.0,68,1,0,,0,0.00,3,4,-1,-0.67,+0.67,1.3,2.0,-0.7,-0.46,+0.11,0,1,2,0,0,0,0,15,1,3,25.0,3
10,Benie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,20-270,2002,2,2,167,1.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,4,6,7,0.00,0.00,0.00,0.00,0.00,0.14,0.18,0.33,0.14,0.33,Matches,2023,1,1,100.0,0.54,0.54,0.00,0.00,15.3,0,0.27,-0.3,-0.3,23,28,82.1,394,83,11,12,91.7,11,12,91.7,1,1,100.0,0.1,-0.3,2,1,4,0,25,2,0,1,0,1,0,0,0,0,0,1,2,2,1.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,0,1,1,0,3,0.0,3,2,0,2,0,2,0,0,44,1,6,20,20,3,44,12,2,16.7,10,83.3,28,198,96,3,1,2,2,23,84,92.8,84,0,0,,0,0.00,1,2,-1,-0.54,+6.38,1.0,3.1,-2.2,-1.16,-0.51,0,6,2,1,0,0,0,10,0,6,0.0,3
